step,reward,loss,epsilon,hit
483,-0.07,,0.94264375,False
484,-0.07,,0.9425250000000001,False
485,-0.07,,0.94240625,False
486,-0.1,,0.9422875000000001,False
487,-0.1,,0.94216875,False
488,-0.07,,0.94205,False
489,-0.1,,0.94193125,False
490,-0.07,,0.9418125,False
491,-0.07,,0.94169375,False
492,-0.1,,0.941575,False
493,-0.1,,0.94145625,False
494,-0.07,,0.9413375,False
495,-0.07,,0.94121875,False
496,1.1,,0.9411,True
497,-0.07,,0.94098125,False
498,-0.07,,0.9408625,False
499,-0.07,,0.94074375,False
500,-0.05,,0.940625,False
501,-0.07,,0.94050625,False
502,-0.07,,0.9403875,False
503,-0.05,,0.94026875,False
504,-0.07,,0.94015,False
505,-0.1,,0.94003125,False
506,-0.1,,0.9399125,False
507,0.5,,0.93979375,True
508,-0.1,,0.939675,False
509,-0.05,,0.93955625,False
510,-0.07,,0.9394375,False
511,-0.07,,0.93931875,False
512,-0.07,,0.9392,False
513,-0.1,,0.93908125,False
514,-0.1,,0.9389625,False
515,-0.05,,0.93884375,False
516,-0.1,,0.938725,False
517,-0.1,,0.93860625,False
518,-0.1,,0.9384875,False
519,-0.07,,0.93836875,False
520,-0.07,,0.93825,False
521,-0.07,,0.93813125,False
522,-0.05,,0.9380125,False
523,-0.05,,0.93789375,False
524,-0.1,,0.937775,False
525,-0.05,,0.93765625,False
526,-0.05,,0.9375375,False
527,-0.05,,0.93741875,False
528,-0.07,,0.9373,False
529,-0.07,,0.93718125,False
530,-0.07,,0.9370625,False
531,-0.05,,0.93694375,False
532,-0.1,,0.936825,False
533,-0.07,,0.93670625,False
534,-0.07,,0.9365875,False
535,-0.07,,0.93646875,False
536,-0.07,,0.93635,False
537,-0.1,,0.93623125,False
538,-0.07,,0.9361125,False
539,-0.1,,0.93599375,False
540,-0.07,,0.935875,False
541,-0.07,,0.93575625,False
542,-0.05,,0.9356375,False
543,-0.1,,0.93551875,False
544,-0.1,,0.9354,False
545,-0.1,,0.93528125,False
546,-0.07,,0.9351625,False
547,-0.07,,0.93504375,False
548,-0.07,,0.934925,False
549,-0.07,,0.93480625,False
550,-0.07,,0.9346875,False
551,-0.07,,0.93456875,False
552,0.8999999999999999,,0.93445,True
553,-0.07,,0.9343312500000001,False
554,-0.07,,0.9342125,False
555,-0.1,,0.93409375,False
556,-0.07,,0.933975,False
557,-0.1,,0.93385625,False
558,-0.07,,0.9337375,False
559,-0.07,,0.9336187499999999,False
560,-0.07,,0.9335,False
561,-0.07,,0.93338125,False
562,-0.07,,0.9332625,False
563,-0.07,,0.93314375,False
564,-0.07,,0.933025,False
565,-0.1,,0.93290625,False
566,-0.07,,0.9327875,False
567,-0.07,,0.93266875,False
568,-0.07,,0.93255,False
569,-0.07,,0.93243125,False
570,-0.1,,0.9323125,False
571,-0.07,,0.93219375,False
572,-0.07,,0.932075,False
573,-0.07,,0.93195625,False
574,1.2,,0.9318375,True
575,-0.1,,0.93171875,False
576,1.4,,0.9316,True
577,1.8,,0.93148125,True
578,-0.07,,0.9313625,False
579,-0.1,,0.93124375,False
580,-0.07,,0.931125,False
581,-0.07,,0.93100625,False
582,-0.07,,0.9308875,False
583,-0.07,,0.93076875,False
584,-0.07,,0.93065,False
585,1.2,,0.93053125,True
586,-0.07,,0.9304125,False
587,-0.07,,0.93029375,False
588,-0.07,,0.930175,False
589,-0.07,,0.93005625,False
590,-0.07,,0.9299375,False
591,-0.07,,0.92981875,False
592,1.8,,0.9297,True
593,-0.07,,0.92958125,False
594,-0.1,,0.9294625,False
595,-0.07,,0.92934375,False
596,-0.07,,0.929225,False
597,-0.07,,0.92910625,False
598,-0.07,,0.9289875,False
599,-0.07,,0.92886875,False
600,-0.07,,0.92875,False
601,-0.05,,0.92863125,False
602,-0.05,,0.9285125,False
603,-0.07,,0.92839375,False
604,-0.1,,0.928275,False
605,-0.07,,0.92815625,False
606,-0.05,,0.9280375,False
607,-0.07,,0.92791875,False
608,-0.05,,0.9278,False
609,-0.07,,0.92768125,False
610,-0.1,,0.9275625,False
611,-0.1,,0.92744375,False
612,1.2,,0.927325,True
613,1.2,,0.92720625,True
614,-0.07,,0.9270875000000001,False
615,-0.07,,0.92696875,False
616,0.7,,0.92685,True
617,-0.07,,0.92673125,False
618,-0.07,,0.9266125000000001,False
619,-0.07,,0.92649375,False
620,-0.07,,0.926375,False
621,-0.07,,0.92625625,False
622,-0.07,,0.9261375000000001,False
623,-0.1,,0.92601875,False
624,-0.1,,0.9259,False
625,-0.1,,0.92578125,False
626,-0.07,,0.9256625,False
627,-0.07,,0.92554375,False
628,-0.1,,0.9254249999999999,False
629,-0.07,,0.92530625,False
630,-0.07,,0.9251875,False
631,-0.1,,0.92506875,False
632,-0.1,,0.92495,False
633,-0.07,,0.92483125,False
634,-0.1,,0.9247125,False
635,-0.07,,0.92459375,False
636,-0.07,,0.924475,False
637,-0.1,,0.92435625,False
638,-0.1,,0.9242375,False
639,-0.1,,0.92411875,False
640,-0.07,,0.924,False
641,-0.07,,0.92388125,False
642,-0.07,,0.9237625,False
643,-0.07,,0.92364375,False
644,-0.07,,0.923525,False
645,1.0,,0.92340625,True
646,-0.05,,0.9232875,False
647,-0.05,,0.92316875,False
648,1.0,,0.92305,True
649,-0.1,,0.92293125,False
650,-0.1,,0.9228125,False
651,1.0,,0.92269375,True
652,-0.1,,0.922575,False
653,-0.1,,0.92245625,False
654,1.0,,0.9223375,True
655,-0.1,,0.92221875,False
656,-0.1,,0.9221,False
657,-0.1,,0.92198125,False
658,-0.05,,0.9218625,False
659,-0.07,,0.92174375,False
660,-0.05,,0.921625,False
661,-0.04,,0.92150625,False
662,-0.1,,0.9213875,False
663,-0.05,,0.92126875,False
664,-0.05,,0.92115,False
665,-0.04,,0.92103125,False
666,-0.05,,0.9209125,False
667,-0.05,,0.92079375,False
668,-0.05,,0.920675,False
669,-0.1,,0.92055625,False
670,-0.05,,0.9204375,False
671,-0.05,,0.92031875,False
672,-0.04,,0.9202,False
673,-0.1,,0.92008125,False
674,-0.05,,0.9199625,False
675,-0.1,,0.91984375,False
676,-0.05,,0.919725,False
677,-0.1,,0.91960625,False
678,-0.1,,0.9194875,False
679,-0.05,,0.91936875,False
680,-0.1,,0.91925,False
681,-0.04,,0.91913125,False
682,-0.05,,0.9190125,False
683,-0.04,,0.91889375,False
684,-0.07,,0.918775,False
685,-0.1,,0.91865625,False
686,-0.04,,0.9185375,False
687,-0.05,,0.91841875,False
688,-0.1,,0.9183,False
689,-0.05,,0.91818125,False
690,-0.05,,0.9180625,False
691,-0.1,,0.9179437500000001,False
692,-0.07,,0.917825,False
693,-0.1,,0.9177062500000001,False
694,-0.05,,0.9175875,False
695,-0.05,,0.91746875,False
696,-0.1,,0.91735,False
697,-0.1,,0.91723125,False
698,-0.05,,0.9171125,False
699,-0.05,,0.91699375,False
700,-0.05,,0.916875,False
701,-0.05,,0.91675625,False
702,-0.1,,0.9166375,False
703,-0.05,,0.91651875,False
704,-0.1,,0.9164,False
705,-0.05,,0.91628125,False
706,-0.1,,0.9161625,False
707,-0.04,,0.91604375,False
708,-0.05,,0.915925,False
709,-0.05,,0.91580625,False
710,-0.05,,0.9156875,False
711,-0.1,,0.91556875,False
712,-0.04,,0.91545,False
713,-0.04,,0.91533125,False
714,-0.1,,0.9152125,False
715,-0.04,,0.91509375,False
716,-0.05,,0.914975,False
717,-0.04,,0.91485625,False
718,-0.07,,0.9147375,False
719,-0.05,,0.91461875,False
720,-0.1,,0.9145,False
721,-0.05,,0.91438125,False
722,-0.05,,0.9142625,False
723,-0.1,,0.91414375,False
724,1.0,,0.914025,True
725,-0.05,,0.91390625,False
726,-0.05,,0.9137875,False
727,0.5,,0.91366875,True
728,-0.05,,0.91355,False
729,-0.1,,0.91343125,False
730,-0.07,,0.9133125,False
731,-0.05,,0.91319375,False
732,-0.1,,0.913075,False
733,1.4,,0.91295625,True
734,-0.05,,0.9128375,False
735,-0.05,,0.91271875,False
736,-0.07,,0.9126,False
737,-0.05,,0.91248125,False
738,-0.05,,0.9123625,False
739,-0.05,,0.91224375,False
